customer_id,company_name,contact_name,email,phone,address,city,state,zip_code,country,industry,company_size,created_date,status,lifetime_value,credit_limit,payment_terms,account_manager
1,"Rodriguez, Figueroa and Sanchez",Brian Yang,garzaanthony@robinson.org,2834863794,4235 Christopher Court Suite 594,Lake Stephenville,MS,10829,TG,Retail,51-200,2022-06-29,Active,339966.25,893257.77,Net 15,Lisa Hensley
1,"Lee, Jones and Stanley",Victoria Wyatt,jamesshawn@martin-kelly.com,001-719-228-3276x483,56413 Lewis Parks,Wilkersonmouth,FL,35219,CU,Technology,1000+,2022-02-05,Inactive,359429.71,704311.72,Net 60,Kimberly Burgess
3,Hurst-Ross,Zachary Hicks,camposmichelle@burton.biz,+1-616-769-7848x018,6270 Stanton Track,New Rita,VI,82460,KG,Technology,51-200,2024-04-26,Churned,173424.01,163924.7,Net 45,Brittany Farmer
4,"Ashley, Nielsen and Sellers",Katherine Rodriguez,natasha43@allen.com,671-882-2782,346 Kim Path,Martinezbury,CA,44814,AO,Education,1000+,2024-09-16,Prospect,404528.5,732434.47,Net 15,Daniel Jones
5,"Brown, Jones and Johnson",Jose Ramirez,ilewis@walls.info,(331)516-5667x01065,87262 Ford Well,South Lindseyside,CT,07131,CF,Education,1000+,2024-08-06,Inactive,353763.06,55366.14,Net 30,Tracy House
6,Martin Group,Dr. Steven Martin,gallowayjoseph@mitchell-horton.net,+1-972-434-3098x05009,121 Emma Freeway,Wilsonshire,IA,76381,UG,Finance,501-1000,2020-05-03,Prospect,229438.1,835769.32,Net 30,Jennifer Silva
7,"Stewart, Green and Santiago",Derek Anderson,stephen10@howell-hart.com,783-684-2513,8498 Elizabeth Plaza,Sarahville,FM,18102,IN,Finance,1000+,2020-12-24,Inactive,269399.24,252362.82,Net 60,Natalie Moore
8,Jacobs-Robbins,Mark Baker,dking@walters.com,2523427868,280 Aguilar Drive,Andersonport,MN,05730,MK,Retail,201-500,2021-10-14,Active,118378.8,41779.24,Net 45,Mary Gomez
9,"Henson, Russell and Oliver",Timothy Hancock,nicolejohnson@middleton.com,521-260-7337x543,5414 May Locks,Sheilaville,FM,34738,EE,Education,51-200,2024-12-08,Churned,200837.79,915402.11,Net 60,Deborah Rodriguez
10,Reed-Hartman,William Wilson,jonathanfletcher@meyer.com,(861)659-5148x465,66299 Sullivan Village,West Justinchester,WY,76520,UZ,Manufacturing,1000+,2022-09-28,Churned,449422.33,405406.5,Net 30,Jeremy Lewis
11,Leon-Moyer,Mary Campbell,clarence34@drake.com,8379917693,20163 Linda Square Suite 083,South Dennismouth,TN,70117,TJ,Technology,1-50,2022-09-12,Inactive,315585.79,794158.57,Net 60,Stephanie Salazar
12,"Mcclain, Simmons and Meadows",Christopher Hensley,pgreen@ramirez.com,571-843-4558x122,316 Rivera Mountain,Brownchester,MS,77057,MC,Other,1000+,2020-03-01,Prospect,485683.8,862171.91,Net 15,Pamela James
13,Bender LLC,Sarah Ashley,vmedina@marsh.com,(270)365-6272x98069,72046 Lewis Islands Suite 646,Maryfort,AK,98677,SR,Manufacturing,201-500,2020-06-10,Active,150282.56,166576.18,Net 15,Mrs. Marie Harrington DDS
14,Herring and Sons,Lisa Allen,kcaldwell@marshall.com,(699)812-4190,319 Curtis Trail Suite 919,West Amandastad,CA,66818,KH,Healthcare,1000+,2022-11-26,Active,435906.69,305460.34,Net 30,Jason Henry
15,Yu-Reid,Michelle Graham,christina87@graham-simon.com,431-947-3799x65075,4549 Peters Path,North John,MT,64539,TH,Technology,1000+,2022-01-16,Prospect,246859.83,120749.05,Net 45,Maria Henry
16,Davis and Sons,David Beck,thomas85@barajas-pierce.com,001-574-544-3135x182,9894 Marissa Hill Apt. 524,Lake Amandaview,AZ,07647,TG,Technology,51-200,2022-06-26,Active,47398.46,491130.56,Net 15,Beth Oneill
17,Garcia-Smith,John Peterson,kingmichelle@short.info,390-822-9413,677 Dalton Meadow,Ashleyton,RI,97505,BZ,Other,1000+,2021-10-07,Inactive,136203.03,873708.71,Net 60,Deborah Miller
18,Thompson Inc,Jason Norris,ocarter@mann-warner.info,434-693-6183,02499 Gonzales Mountain,Hollyview,NY,71277,SA,Retail,201-500,2023-09-22,Churned,497598.93,653379.28,Net 60,Andrew Reynolds
19,Munoz-Johnson,Michael Valencia,keyemily@johnston-hines.com,787.342.9671x7565,6746 Shawn Island,Marcusfurt,VI,67950,AD,Finance,201-500,2024-08-12,Active,296212.82,237813.59,Net 30,Anthony Stone
20,"Avila, Garrett and Wolf",Joshua Pennington,,371.509.3248x086,1274 Perry Orchard,Sanchezside,FL,50778,ET,Finance,1-50,2024-04-28,Prospect,40074.39,245624.59,Net 60,Breanna Jones
21,Morgan-French,Aaron Barber,cgrimes@washington.biz,853.439.6360x576,28951 Garcia Motorway Apt. 262,South Kimberlyview,MA,82192,MD,Other,51-200,2023-05-19,Churned,404711.01,198505.82,Net 15,Sarah Phelps
22,"James, Stewart and Higgins",Shelia Johnson,younggabrielle@bright-francis.biz,617-724-0050,2386 George Common Suite 937,East Steven,KS,60737,IE,Technology,1-50,2020-01-30,Active,204297.53,345909.58,Net 15,Julie Roberts
23,"Moore, Alexander and Reed",Margaret Coleman,stephen43@castaneda-rodriguez.biz,001-259-944-0640,95339 Byrd Stravenue Apt. 104,Johnsonstad,VA,17725,BW,Government,51-200,2022-07-05,Prospect,234000.89,875741.09,Net 15,Jason Gonzalez
24,"Walter, Diaz and Shaw",Christopher Sloan,scoffey@harrell.com,(336)985-1604,496 Rodriguez Fort Suite 098,Rosebury,SD,08786,ZW,Technology,1000+,2023-12-13,Active,484653.15,927103.31,Net 30,Elizabeth Ortiz
25,Williams Inc,Johnathan Davis,paulwatson@horton.com,(717)796-4053x77351,4317 Elizabeth Row,North Kristinbury,DC,74501,GA,Government,1-50,2020-08-01,Inactive,192591.69,985455.76,Net 45,Kristen Willis
26,Murphy and Sons,Linda Ramirez,vanessafernandez@rodriguez.com,4538950240,177 Palmer Coves,Gordonton,VA,86864,SK,Other,51-200,2022-07-26,Inactive,151870.37,969022.27,Net 15,Victor Brown
27,Boone-Simmons,Micheal Wallace,morriseddie@hill.org,+1-856-398-4789,836 Beasley Loop,Mariafurt,MT,96132,BY,Healthcare,1-50,2022-08-29,Active,426414.56,77836.12,Net 15,Maurice Brooks
28,Mcdaniel Group,Ronald Davis,garnernathan@hawkins.net,+1-651-765-6049,832 Walker Coves,Meganstad,DE,37013,TO,Retail,1000+,2021-12-03,Active,311593.85,425032.67,Net 45,Sarah Villegas
29,"Austin, Day and Johnson",Sandra Adams,joshuafarmer@bell-white.com,001-861-920-1836,54599 Nicole Drives Apt. 901,Scottchester,NM,80071,PA,Retail,201-500,2023-07-10,Churned,69784.75,649045.78,Net 60,Paul Wilson
30,Rodriguez-Gregory,Kelsey Parker,randallgreene@harris.com,001-744-351-0762x26838,060 Morse Wall Suite 969,Mckinneychester,LA,15597,NA,Other,1000+,2020-03-05,Active,41264.06,221022.77,Net 45,Carolyn Meza
31,Collier-Gillespie,Ryan Sanchez,zwarren@reese-walker.com,581-388-3552,3292 Gregory Trail,Marshallshire,WV,76453,PE,Retail,201-500,2024-10-19,Prospect,83084.68,835407.51,Net 45,Victoria Morris
32,"Stewart, Gonzales and Harrison",Rebecca Vargas,william47@johnson-wood.com,219-998-6798,9782 Shannon Valleys,Toniland,NY,85190,EC,Technology,1000+,2020-05-01,Prospect,466219.24,112550.64,Net 30,Jeffrey Gonzales
33,"Bishop, Cox and Hardin",Raymond Shelton,mccormickdeborah@rivera.biz,349-625-1925x4629,528 Debbie Manors Suite 054,East Matthew,WI,64237,FI,Healthcare,201-500,2021-12-04,Prospect,304390.76,720436.07,Net 30,Mrs. Elizabeth French DDS
34,"Conley, Stephenson and Johnson",Ralph Anderson,lmoore@wise.info,5656379473,59774 Shaw Manor Apt. 392,Brettfort,VI,49156,TG,Manufacturing,1-50,2020-11-14,Active,318970.8,831054.61,Net 15,Kelli Martinez
35,Hines LLC,Jose Guerra,,737-550-6068,53051 Moody Dam Apt. 472,Westtown,MH,10885,AM,Manufacturing,51-200,2022-03-06,Churned,278081.81,433410.05,Net 15,Chase Bentley
36,"Rose, Rodriguez and Roberts",Anthony Barnes,fbrown@herrera.com,260-895-3962x1851,65405 Michael Street Apt. 952,West Amyburgh,MP,90243,PL,Healthcare,1000+,2024-01-26,Active,418124.53,586684.47,Net 30,Robin Brown
3,Johnson-Harris,Stacey Stewart,zachary87@johnson-lucas.com,(905)941-5667x652,416 Ryan View Apt. 845,North Markport,ME,58948,UY,Education,51-200,2023-08-16,Inactive,335132.04,360141.85,Net 60,Jeremy West
38,"Berg, Gomez and Bolton",William Gould,lambertrichard@owen.com,+1-470-921-3556x909,7192 Sanders Run Suite 310,South April,PW,74120,CL,Retail,51-200,2022-03-24,Inactive,441301.02,34538.5,Net 45,Michele Lewis
39,"Mitchell, Hendricks and Henry",Samuel Hayes,zosborn@ponce.com,+1-384-542-2583,70589 Mcdonald Plaza,New Nicole,CA,41040,MY,Retail,201-500,2024-01-27,Inactive,394750.38,117014.67,Net 15,Patricia Morrow
40,Martinez LLC,Joanna Frazier,david89@saunders.biz,601.582.4225x35841,49818 Brittany Prairie Apt. 299,Meganshire,AZ,04219,BR,Other,201-500,2020-05-21,Prospect,411165.51,872609.81,Net 30,Patricia Baker
41,Wang Group,Amanda Small,,+1-244-473-6471,7735 Larry Stravenue Suite 562,Zacharyville,MD,32186,PT,Finance,201-500,2021-01-15,Prospect,322533.46,405681.6,Net 45,David Davis
42,Dougherty-Lin,Victor Barrera,sarah53@jimenez.info,247.601.6873x3950,748 Melanie Meadows Apt. 456,Brandonton,OK,74139,FI,Healthcare,1000+,2023-01-31,Prospect,23937.31,600605.54,Net 45,Angel Gordon
43,"Ramirez, Hays and Becker",William Long,angela52@morrison.net,4007257872,69495 Erickson Hills Suite 055,South Brandytown,PA,62706,IN,Finance,501-1000,2024-12-02,Inactive,131087.64,711697.43,Net 15,Mikayla Silva
44,Warren Ltd,Sarah Hernandez,anthonyvaughan@lee.com,(926)836-8970x28385,78585 Bishop Fields Apt. 484,West Kellie,VT,27669,FM,Retail,201-500,2024-02-28,Churned,39637.04,667595.31,Net 45,Gregory Peck
