user_id,username,email,first_name,last_name,full_name,phone,date_of_birth,ssn,department,role,hire_date,salary,is_active,reports_to
USR-0001,john71,derek04@example.org,Douglas,Romero,Gregory Hansen,(786)505-6958x9740,1972-12-28,434-49-8692,Sales,Specialist,2022-03-04,106447.36,False,
USR-0002,youngbrenda,davidadams@example.net,Roy,Bentley,Steven Durham,990.503.1033x280,1979-07-31,,Operations,Manager,2022-12-02,126082.19,True,USR-0001
USR-0003,gregorymedina,monique66@example.net,Ryan,Guzman,Brian Soto,304.555.2598x478,1985-02-23,,HR,Developer,2020-09-06,90772.46,True,USR-0002
USR-0004,greeves,james88@example.net,Lisa,Taylor,Alan Wood,5735970152,1962-10-21,,Engineering,Analyst,2023-05-31,90938.84,False,USR-0003
USR-0005,robert82,nunezfernando@example.net,Aaron,Randall,Shelby Burton,001-908-711-3476x60517,1963-09-16,,Operations,Executive,2021-01-31,124732.35,False,USR-0001
USR-0006,barkersonya,emilyknight@example.net,Jason,Colon,Bryan Ramirez,969.771.4229x7075,2003-09-23,,Marketing,Director,2021-07-17,107866.63,False,USR-0004
USR-0007,shelbybowen,mauricemay@example.org,Timothy,Sosa,Judy Callahan,001-660-357-9371x8973,1979-08-24,,Engineering,Developer,2023-10-19,162886.79,True,USR-0002
USR-0008,paul71,marissa81@example.org,Amber,Richards,Albert Valencia,7339380802,1998-11-01,814-83-2534,HR,Developer,2022-12-11,53274.05,True,USR-0002
USR-0009,uescobar,copelandnichole@example.com,Edwin,Jones,Jacqueline Booker,481.300.0079x65193,1996-08-07,,HR,Developer,2022-03-15,191023.95,True,USR-0003
USR-0010,djohnson,webstermichael@example.net,Wanda,Mccullough,Elizabeth Scott,+1-512-521-0767x2252,1992-12-27,,Marketing,Specialist,2022-08-30,183359.98,True,USR-0004
USR-0011,ipeters,charleslittle@example.org,Rachel,Beard,Michael Woods,311.506.5575,1999-06-10,,Finance,Analyst,2021-09-16,187297.25,True,USR-0008
USR-0012,millershawn,vrichards@example.com,Anthony,Wilson,Christopher Jones,3012126994,1965-05-01,,HR,Developer,2023-07-16,146429.04,True,USR-0011
USR-0013,matthewmcgee,nicole93@example.com,Henry,Hubbard,Dennis Page,7549836490,1994-01-11,,Marketing,Executive,2023-11-09,158859.59,False,USR-0008
USR-0014,oleach,phillipthompson@example.com,Charles,Hines,Amanda Ibarra,+1-924-953-5241x95258,1996-06-26,,HR,Director,2021-04-11,59490.27,False,USR-0009
USR-0015,cooperchristian,mthompson@example.net,Victoria,Skinner,Lori Graham,5932736190,1986-05-21,,Operations,Analyst,2020-07-10,117385.21,True,USR-0006
USR-0016,elizabeth95,jacquelineanderson@example.com,Heather,Patton,Ronald Randall,739.469.4513x6985,1985-04-26,,HR,Specialist,2020-11-04,73792.81,True,USR-0015
USR-0017,juliadodson,shanelopez@example.org,Christian,Miller,Bradley Dorsey,(258)822-2399,1987-11-20,,Sales,Manager,2022-09-28,194285.23,False,USR-0015
USR-0018,jenniferburke,amandaherring@example.org,Kenneth,Stephens,Sherry Herrera,001-352-493-3926x8889,1962-12-13,,Operations,Executive,2023-11-16,190693.94,True,USR-0015
USR-0019,gonzalezlarry,michaelatkins@example.com,Kristen,Brown,Paul Watson,+1-206-612-9704x4302,1972-08-18,,Marketing,Analyst,2023-07-23,130806.9,False,USR-0015
USR-0020,patriciaerickson,thomashall@example.com,James,Thomas,Chelsea Chapman,937-760-2656x768,2002-07-21,,HR,Executive,2023-01-24,172160.6,False,USR-0005
USR-0021,tyrone28,parkertim@example.net,Cynthia,Fuller,Amanda White,(714)505-9588,1973-11-04,,HR,Manager,2023-11-07,171093.8,False,USR-0010
USR-0022,alicewoods,clarkmonica@example.org,Deborah,Pugh,Gerald Maynard,8664408078,1970-01-04,,Operations,Director,2020-06-18,86806.6,True,USR-0021
USR-0023,plopez,david54@example.org,Brian,Brown,Melissa Walker,923-870-0257,1960-10-31,,Marketing,Manager,2020-07-13,122953.1,True,USR-0017
USR-0024,stephanieosborne,george40@example.net,Rebecca,White,Jessica Ingram,501-308-2014x36723,1963-04-30,,Sales,Specialist,2023-05-24,61074.46,True,USR-0010
USR-0025,qhall,martinezrobert@example.net,Belinda,Duncan,Mary Jones,(493)876-4980,1971-11-18,,Sales,Specialist,2020-11-24,197338.7,False,USR-0002
USR-0026,peter08,gerald24@example.com,Dominic,Benson,James Russo,(848)682-6360,1964-03-27,,Sales,Specialist,2020-07-10,123004.65,True,USR-0011
USR-0027,fharris,oconnellsusan@example.org,Gregory,Coleman,Brian Barnes,+1-528-430-7810,1966-10-22,113-41-5405,Finance,Developer,2022-05-26,86328.76,True,USR-0025
USR-0028,adamcollins,heather69@example.com,Dana,Owen,Justin Cabrera,001-428-486-6449x072,1972-02-29,,Marketing,Executive,2021-06-19,56699.41,True,USR-0017
USR-0029,jasonfisher,jenniferavery@example.com,Kimberly,Clayton,Miguel Harrison,6644779905,1966-06-05,,Engineering,Director,2023-12-25,79614.63,True,USR-0028
USR-0030,kayla71,pennymontgomery@example.net,Jennifer,Jensen,Christopher Davis,508.280.2282x832,1963-09-21,,Marketing,Developer,2021-12-24,93631.62,True,USR-0024
USR-0031,thomas12,wjohnson@example.org,Cindy,Dixon,David Daniel,(664)677-2288x08750,1965-08-15,509-49-5570,Finance,Developer,2020-10-28,73110.39,False,USR-0012
USR-0032,gatessusan,cynthiaharper@example.com,James,Smith,Dawn Reynolds,529.718.3759x785,1966-08-10,,HR,Manager,2023-01-06,164167.19,True,USR-0008
